Province,Division,District,Indicator,Area Type,Total,Male,Female
Balochistan,Kalat Division,Khuzdar,Literacy Rate (%),Rural,24,34.2,12.1
Balochistan,Kalat Division,Khuzdar,Literacy Rate (%),Urban,35.9,45.8,24.5
Balochistan,Kalat Division,Khuzdar,Underemployment Rate (%),Rural,1.2,1.3,-
Balochistan,Kalat Division,Khuzdar,Underemployment Rate (%),Urban,-,-,-
Balochistan,Kalat Division,Khuzdar,Mean Hours Work/Per Week,Rural,52.7,53,43
Balochistan,Kalat Division,Khuzdar,Mean Hours Work/Per Week,Urban,51.1,52.4,33.9
Balochistan,Kalat Division,Khuzdar,Total Population,Rural,523134,274438,248631
Balochistan,Kalat Division,Khuzdar,Total Population,Urban,275762,144913,130837
Balochistan,Kalat Division,Mastung,Working Age Population,Rural,171000,92000,79000
Balochistan,Kalat Division,Mastung,Working Age Population,Urban,29000,17000,12000
Balochistan,Kalat Division,Mastung,Labour Force,Rural,64500,58000,6500
Balochistan,Kalat Division,Mastung,Labour Force,Urban,10100,9000,1100
Balochistan,Kalat Division,Mastung,Employed,Rural,60900,54900,6000
Balochistan,Kalat Division,Mastung,Employed,Urban,8300,7700,700
Balochistan,Kalat Division,Mastung,Unemployed,Rural,3600,3100,500
Balochistan,Kalat Division,Mastung,Unemployed,Urban,1800,1400,400
Balochistan,Kalat Division,Mastung,Refined Participation Rate (%),Rural,37.8,63.1,8.2
Balochistan,Kalat Division,Mastung,Refined Participation Rate (%),Urban,35.3,53.8,9.3
Balochistan,Kalat Division,Mastung,Unemployment Rate (%),Rural,5.6,5.3,8.4
Balochistan,Kalat Division,Mastung,Unemployment Rate (%),Urban,17.8,15.1,39.1
Balochistan,Kalat Division,Mastung,Employment to Population Ratio (%),Rural,35.6,59.8,7.5
Balochistan,Kalat Division,Mastung,Employment to Population Ratio (%),Urban,29,45.7,5.7
Balochistan,Kalat Division,Mastung,Agriculture Employee (%),Rural,40.4,37,72.1
Balochistan,Kalat Division,Mastung,Agriculture Employee (%),Urban,1.4,1.5,-
Balochistan,Kalat Division,Mastung,Industry Employee (%),Rural,16.9,17,16.2
Balochistan,Kalat Division,Mastung,Industry Employee (%),Urban,23.6,24.5,14
Balochistan,Kalat Division,Mastung,Services Employee (%),Rural,42.7,46.1,11.7
Balochistan,Kalat Division,Mastung,Services Employee (%),Urban,75,74,86
Balochistan,Kalat Division,Mastung,Formal Activity (%),Rural,27.4,27.1,33.8
Balochistan,Kalat Division,Mastung,Formal Activity (%),Urban,31.3,26.3,86
Balochistan,Kalat Division,Mastung,Informal Activity (%),Rural,72.6,72.9,66.2
Balochistan,Kalat Division,Mastung,Informal Activity (%),Urban,68.7,73.7,14
Balochistan,Kalat Division,Mastung,Employers (%),All Areas,0.6,0.7,-
Balochistan,Kalat Division,Mastung,Own Account Workers (%),All Areas,33.5,35.3,16
Balochistan,Kalat Division,Mastung,Contributing Family  Workers (%),All Areas,16.4,11.3,64.2
Balochistan,Kalat Division,Mastung,Employees (%),All Areas,49.5,52.7,19.8
Balochistan,Kalat Division,Mastung,Literacy Rate (%),Rural,56.5,79.1,30.2
Balochistan,Kalat Division,Mastung,Literacy Rate (%),Urban,83.9,98.9,62.9
Balochistan,Kalat Division,Mastung,Underemployment Rate (%),Rural,0.5,0.6,-
Balochistan,Kalat Division,Mastung,Underemployment Rate (%),Urban,-,-,-
Balochistan,Kalat Division,Mastung,Mean Hours Work/Per Week,Rural,46.7,47.8,36.8
Balochistan,Kalat Division,Mastung,Mean Hours Work/Per Week,Urban,50.3,50.9,43.7
Balochistan,Kalat Division,Mastung,Total Population,Rural,230679,119654,111022
Balochistan,Kalat Division,Mastung,Total Population,Urban,34997,17850,17147
Balochistan,Makran Division,Awaran,Working Age Population,Rural,59000,33000,26000
Balochistan,Makran Division,Awaran,Working Age Population,Urban,27000,16000,12000
Balochistan,Makran Division,Awaran,Labour Force,Rural,21800,21200,600
Balochistan,Makran Division,Awaran,Labour Force,Urban,9800,9500,300
Balochistan,Makran Division,Awaran,Employed,Rural,19700,19100,600
Balochistan,Makran Division,Awaran,Employed,Urban,9000,8700,300
Balochistan,Makran Division,Awaran,Unemployed,Rural,2100,2100,-
Balochistan,Makran Division,Awaran,Unemployed,Urban,800,800,-
Balochistan,Makran Division,Awaran,Refined Participation Rate (%),Rural,36.9,64.1,2.3
Balochistan,Makran Division,Awaran,Refined Participation Rate (%),Urban,35.7,60.7,2.5
Balochistan,Makran Division,Awaran,Unemployment Rate (%),Rural,9.6,9.9,-
Balochistan,Makran Division,Awaran,Unemployment Rate (%),Urban,7.7,8,-
Balochistan,Makran Division,Awaran,Employment to Population Ratio (%),Rural,33.3,57.8,2.3
Balochistan,Makran Division,Awaran,Employment to Population Ratio (%),Urban,32.9,55.9,2.5
Balochistan,Makran Division,Awaran,Agriculture Employee (%),Rural,48.1,47,82.6
Balochistan,Makran Division,Awaran,Agriculture Employee (%),Urban,45.8,44,100
Balochistan,Makran Division,Awaran,Industry Employee (%),Rural,19,19.4,7.2
Balochistan,Makran Division,Awaran,Industry Employee (%),Urban,17.7,18.3,-
Balochistan,Makran Division,Awaran,Services Employee (%),Rural,33,33.7,10.2
Balochistan,Makran Division,Awaran,Services Employee (%),Urban,36.5,37.8,-
Balochistan,Makran Division,Awaran,Formal Activity (%),Rural,21.7,21.3,58.2
Balochistan,Makran Division,Awaran,Formal Activity (%),Urban,12.1,12.1,-
Balochistan,Makran Division,Awaran,Informal Activity (%),Rural,78.3,78.7,41.8
Balochistan,Makran Division,Awaran,Informal Activity (%),Urban,87.9,87.9,-
Balochistan,Makran Division,Awaran,Employers (%),All Areas,0.2,0.2,-
Balochistan,Makran Division,Awaran,Own Account Workers (%),All Areas,32.7,33.7,-
Balochistan,Makran Division,Awaran,Contributing Family  Workers (%),All Areas,20.9,19.2,72.9
Balochistan,Makran Division,Awaran,Employees (%),All Areas,46.3,46.9,27.1
Balochistan,Makran Division,Awaran,Literacy Rate (%),Rural,51.7,57.8,43.9
Balochistan,Makran Division,Awaran,Literacy Rate (%),Urban,49.9,62.4,33.3
Balochistan,Makran Division,Awaran,Underemployment Rate (%),Rural,0.3,0.3,-
Balochistan,Makran Division,Awaran,Underemployment Rate (%),Urban,-,-,-
Balochistan,Makran Division,Awaran,Mean Hours Work/Per Week,Rural,54.6,54.9,44.9
Balochistan,Makran Division,Awaran,Mean Hours Work/Per Week,Urban,56.6,56.8,50.2
Balochistan,Makran Division,Awaran,Total Population,Rural,87584,45438,42138
Balochistan,Makran Division,Awaran,Total Population,Urban,34237,17625,16611
Balochistan,Makran Division,Gwadar,Working Age Population,Rural,86000,44000,42000
Balochistan,Makran Division,Gwadar,Working Age Population,Urban,126000,68000,59000
Balochistan,Makran Division,Gwadar,Labour Force,Rural,30800,28200,2600
Balochistan,Makran Division,Gwadar,Labour Force,Urban,48500,46300,2200
Balochistan,Makran Division,Gwadar,Employed,Rural,30300,27700,2600
Balochistan,Makran Division,Gwadar,Employed,Urban,44800,43400,1400
Balochistan,Makran Division,Gwadar,Unemployed,Rural,500,500,-
Balochistan,Makran Division,Gwadar,Unemployed,Urban,3600,2800,800
Balochistan,Makran Division,Gwadar,Refined Participation Rate (%),Rural,35.8,64.5,6.1
Balochistan,Makran Division,Gwadar,Refined Participation Rate (%),Urban,38.3,68.5,3.7
Balochistan,Makran Division,Gwadar,Unemployment Rate (%),Rural,1.7,1.8,-
Balochistan,Makran Division,Gwadar,Unemployment Rate (%),Urban,7.5,6.1,36.7
Balochistan,Makran Division,Gwadar,Employment to Population Ratio (%),Rural,35.2,63.3,6.1
Balochistan,Makran Division,Gwadar,Employment to Population Ratio (%),Urban,35.4,64.3,2.4
Balochistan,Makran Division,Gwadar,Agriculture Employee (%),Rural,55.3,53.1,79.1
Balochistan,Makran Division,Gwadar,Agriculture Employee (%),Urban,23.8,24.1,13.8
Balochistan,Makran Division,Gwadar,Industry Employee (%),Rural,13.5,12.8,20.9
Balochistan,Makran Division,Gwadar,Industry Employee (%),Urban,22.6,21.3,64.9
Balochistan,Makran Division,Gwadar,Services Employee (%),Rural,31.2,34.1,-
Balochistan,Makran Division,Gwadar,Services Employee (%),Urban,53.6,54.6,21.3
Balochistan,Makran Division,Gwadar,Formal Activity (%),Rural,19.7,20.5,-
Balochistan,Makran Division,Gwadar,Formal Activity (%),Urban,21.7,21.6,24.7
Balochistan,Makran Division,Gwadar,Informal Activity (%),Rural,80.3,79.5,100
Balochistan,Makran Division,Gwadar,Informal Activity (%),Urban,78.3,78.4,75.2
Balochistan,Makran Division,Gwadar,Employers (%),All Areas,2.3,2.4,-
Balochistan,Makran Division,Gwadar,Own Account Workers (%),All Areas,28.8,30.1,5.8
Balochistan,Makran Division,Gwadar,Contributing Family  Workers (%),All Areas,4.1,1.2,56.3
Balochistan,Makran Division,Gwadar,Employees (%),All Areas,64.8,66.3,37.8
Balochistan,Makran Division,Gwadar,Literacy Rate (%),Rural,54.7,73.5,35.1
Balochistan,Makran Division,Gwadar,Literacy Rate (%),Urban,77.1,93.5,58.3
Balochistan,Makran Division,Gwadar,Underemployment Rate (%),Rural,-,-,-
Balochistan,Makran Division,Gwadar,Underemployment Rate (%),Urban,1.4,0.7,20.7
Balochistan,Makran Division,Gwadar,Mean Hours Work/Per Week,Rural,51.6,52,47.3
Balochistan,Makran Division,Gwadar,Mean Hours Work/Per Week,Urban,50.1,50.6,32.9
Balochistan,Makran Division,Gwadar,Total Population,Rural,101474,53299,48173
Balochistan,Makran Division,Gwadar,Total Population,Urban,160779,87817,72947
Balochistan,Makran Division,Kech/Turbat,Working Age Population,Rural,476000,261000,215000
Balochistan,Makran Division,Kech/Turbat,Working Age Population,Urban,245000,135000,110000
Balochistan,Makran Division,Kech/Turbat,Labour Force,Rural,216000,193300,22700
Balochistan,Makran Division,Kech/Turbat,Labour Force,Urban,87900,81400,6500
Balochistan,Makran Division,Kech/Turbat,Employed,Rural,216000,193300,22700
Balochistan,Makran Division,Kech/Turbat,Employed,Urban,76400,74800,1600
Balochistan,Makran Division,Kech/Turbat,Unemployed,Rural,-,-,-
Balochistan,Makran Division,Kech/Turbat,Unemployed,Urban,11400,6600,4900
Balochistan,Makran Division,Kech/Turbat,Refined Participation Rate (%),Rural,45.4,74.2,10.6
Balochistan,Makran Division,Kech/Turbat,Refined Participation Rate (%),Urban,35.9,60.5,5.9
Balochistan,Makran Division,Kech/Turbat,Unemployment Rate (%),Rural,-,-,-
Balochistan,Makran Division,Kech/Turbat,Unemployment Rate (%),Urban,13,8.1,75.2
Balochistan,Makran Division,Kech/Turbat,Employment to Population Ratio (%),Rural,45.4,74.2,10.6
Balochistan,Makran Division,Kech/Turbat,Employment to Population Ratio (%),Urban,31.2,55.6,1.5
Balochistan,Makran Division,Kech/Turbat,Agriculture Employee (%),Rural,25.9,25.7,27.2
Balochistan,Makran Division,Kech/Turbat,Agriculture Employee (%),Urban,9.8,10,-
Balochistan,Makran Division,Kech/Turbat,Industry Employee (%),Rural,22.5,20.3,42
Balochistan,Makran Division,Kech/Turbat,Industry Employee (%),Urban,26.6,26.3,42.5
Balochistan,Makran Division,Kech/Turbat,Services Employee (%),Rural,51.6,54,30.8
Balochistan,Makran Division,Kech/Turbat,Services Employee (%),Urban,63.6,63.7,57.5
Balochistan,Makran Division,Kech/Turbat,Formal Activity (%),Rural,15.5,12.4,42.3
Balochistan,Makran Division,Kech/Turbat,Formal Activity (%),Urban,23.6,22.8,57.4
Balochistan,Makran Division,Kech/Turbat,Informal Activity (%),Rural,84.5,87.6,57.7
Balochistan,Makran Division,Kech/Turbat,Informal Activity (%),Urban,76.4,77.2,42.5
Balochistan,Makran Division,Kech/Turbat,Employers (%),All Areas,1.7,1.8,-
Balochistan,Makran Division,Kech/Turbat,Own Account Workers (%),All Areas,39.8,43.1,3.3
Balochistan,Makran Division,Kech/Turbat,Contributing Family  Workers (%),All Areas,14.9,13.6,28.7
Balochistan,Makran Division,Kech/Turbat,Employees (%),All Areas,43.7,41.5,68
Balochistan,Makran Division,Kech/Turbat,Literacy Rate (%),Rural,58.8,78.3,35.1
Balochistan,Makran Division,Kech/Turbat,Literacy Rate (%),Urban,64.9,79.5,47.1
Balochistan,Makran Division,Kech/Turbat,Underemployment Rate (%),Rural,-,-,-
Balochistan,Makran Division,Kech/Turbat,Underemployment Rate (%),Urban,0.9,-,42.5
Balochistan,Makran Division,Kech/Turbat,Mean Hours Work/Per Week,Rural,49.5,50.6,40.3
Balochistan,Makran Division,Kech/Turbat,Mean Hours Work/Per Week,Urban,47.7,48.1,32
Balochistan,Makran Division,Kharan,Working Age Population,Rural,82000,45000,37000
Balochistan,Makran Division,Kharan,Working Age Population,Urban,33000,18000,15000
Balochistan,Makran Division,Kharan,Labour Force,Rural,82000,45000,37000
Balochistan,Makran Division,Kharan,Labour Force,Urban,33000,18000,15000
Balochistan,Makran Division,Kharan,Employed,Rural,27800,26500,1300
Balochistan,Makran Division,Kharan,Employed,Urban,11500,10900,600
Balochistan,Makran Division,Kharan,Unemployed,Rural,26400,25100,1300
Balochistan,Makran Division,Kharan,Unemployed,Urban,10300,10000,300
Balochistan,Makran Division,Kharan,Refined Participation Rate (%),Rural,33.7,58.6,3.5
Balochistan,Makran Division,Kharan,Refined Participation Rate (%),Urban,34.7,60.8,3.9
Balochistan,Makran Division,Kharan,Unemployment Rate (%),Rural,5.1,5.3,.
Balochistan,Makran Division,Kharan,Unemployment Rate (%),Urban,10.6,8.3,53.9
Balochistan,Makran Division,Kharan,Employment to Population Ratio (%),Rural,32,55.5,3.5
Balochistan,Makran Division,Kharan,Employment to Population Ratio (%),Urban,31,55.7,1.8
Balochistan,Makran Division,Kharan,Agriculture Employee (%),Rural,44.4,43.3,65.8
Balochistan,Makran Division,Kharan,Agriculture Employee (%),Urban,7.5,7.7,-
Balochistan,Makran Division,Kharan,Industry Employee (%),Rural,21.6,21.5,23.6
Balochistan,Makran Division,Kharan,Industry Employee (%),Urban,34.2,32.4,100
Balochistan,Makran Division,Kharan,Services Employee (%),Rural,34,35.2,10.6
Balochistan,Makran Division,Kharan,Services Employee (%),Urban,58.4,59.9,-
Balochistan,Makran Division,Kharan,Formal Activity (%),Rural,20.6,20.8,13.7
Balochistan,Makran Division,Kharan,Formal Activity (%),Urban,25.3,26.1,-
Balochistan,Makran Division,Kharan,Informal Activity (%),Rural,79.4,79.2,86.3
Balochistan,Makran Division,Kharan,Informal Activity (%),Urban,74.7,73.9,100
Balochistan,Makran Division,Kharan,Employers (%),All Areas,3,3.1,-
Balochistan,Makran Division,Kharan,Own Account Workers (%),All Areas,38.3,38.9,25.3
Balochistan,Makran Division,Kharan,Contributing Family  Workers (%),All Areas,17.3,15.3,61.7
Balochistan,Makran Division,Kharan,Employees (%),All Areas,41.4,42.7,13
Balochistan,Makran Division,Kharan,Literacy Rate (%),Rural,48.5,67.6,25.3
Balochistan,Makran Division,Kharan,Literacy Rate (%),Urban,73.6,91,52.9
Balochistan,Makran Division,Kharan,Underemployment Rate (%),Rural,-,-,-
Balochistan,Makran Division,Kharan,Underemployment Rate (%),Urban,-,-,-
Balochistan,Makran Division,Kharan,Mean Hours Work/Per Week,Rural,47,47.1,43.3
Balochistan,Makran Division,Kharan,Mean Hours Work/Per Week,Urban,48.9,49,44
Balochistan,Makran Division,Kharan,Total Population,Rural,111378,57558,53820
Balochistan,Makran Division,Kharan,Total Population,Urban,51388,27073,24315
Balochistan,Makran Division,Lasbela,Working Age Population,Rural,232000,118000,115000
Balochistan,Makran Division,Lasbela,Working Age Population,Urban,227000,114000,113000
Balochistan,Makran Division,Lasbela,Labour Force,Rural,70900,67800,3100
Balochistan,Makran Division,Lasbela,Labour Force,Urban,66200,66200,0
Balochistan,Makran Division,Lasbela,Employed,Rural,69700,66700,3100
Balochistan,Makran Division,Lasbela,Employed,Urban,65100,65100,-
Balochistan,Makran Division,Lasbela,Unemployed,Rural,1100,1100,-
Balochistan,Makran Division,Lasbela,Unemployed,Urban,1100,1100,-
Balochistan,Makran Division,Lasbela,Refined Participation Rate (%),Rural,30.5,57.6,2.7
Balochistan,Makran Division,Lasbela,Refined Participation Rate (%),Urban,29.2,58.1,-
Balochistan,Makran Division,Lasbela,Unemployment Rate (%),Rural,1.6,1.7,-
Balochistan,Makran Division,Lasbela,Unemployment Rate (%),Urban,1.7,1.7,-
Balochistan,Makran Division,Lasbela,Employment to Population Ratio (%),Rural,30,56.7,2.7
Balochistan,Makran Division,Lasbela,Employment to Population Ratio (%),Urban,28.7,57.1,-
Balochistan,Makran Division,Lasbela,Agriculture Employee (%),Rural,29.3,26.9,81
Balochistan,Makran Division,Lasbela,Agriculture Employee (%),Urban,9.2,9.2,-
Balochistan,Makran Division,Lasbela,Industry Employee (%),Rural,24.3,25.2,4.8
Balochistan,Makran Division,Lasbela,Industry Employee (%),Urban,27.1,27.1,-
Balochistan,Makran Division,Lasbela,Services Employee (%),Rural,46.4,47.9,14.2
Balochistan,Makran Division,Lasbela,Services Employee (%),Urban,63.7,63.7,-
Balochistan,Makran Division,Lasbela,Formal Activity (%),Rural,21.5,21.5,23
Balochistan,Makran Division,Lasbela,Formal Activity (%),Urban,19.5,19.5,-
Balochistan,Makran Division,Lasbela,Informal Activity (%),Rural,78.5,78.5,76.8
Balochistan,Makran Division,Lasbela,Informal Activity (%),Urban,80.5,80.5,-
Balochistan,Makran Division,Lasbela,Employers (%),All Areas,0.7,0.7,-
Balochistan,Makran Division,Lasbela,Own Account Workers (%),All Areas,38.9,39.6,9.8
Balochistan,Makran Division,Lasbela,Contributing Family  Workers (%),All Areas,5.1,3.4,81
Balochistan,Makran Division,Lasbela,Employees (%),All Areas,55.3,56.3,9.2
Balochistan,Makran Division,Lasbela,Literacy Rate (%),Rural,43.7,56.6,30.4
Balochistan,Makran Division,Lasbela,Literacy Rate (%),Urban,52.9,64.5,41.2
Balochistan,Makran Division,Lasbela,Underemployment Rate (%),Rural,-,-,-
Balochistan,Makran Division,Lasbela,Underemployment Rate (%),Urban,-,-,-
Balochistan,Makran Division,Lasbela,Mean Hours Work/Per Week,Rural,55.8,56.1,47.6
Balochistan,Makran Division,Lasbela,Mean Hours Work/Per Week,Urban,53.4,53.4,-
Balochistan,Makran Division,Lasbela,Total Population,Rural,281984,146228,135753
Balochistan,Makran Division,Lasbela,Total Population,Urban,281898,148105,133785
Balochistan,Makran Division,Panjgur,Working Age Population,Rural,175000,87000,87000
Balochistan,Makran Division,Panjgur,Working Age Population,Urban,78000,42000,36000
Balochistan,Makran Division,Panjgur,Labour Force,Rural,63400,56000,7300
Balochistan,Makran Division,Panjgur,Labour Force,Urban,22400,21400,1100
Balochistan,Makran Division,Panjgur,Employed,Rural,62600,56000,6600
Balochistan,Makran Division,Panjgur,Employed,Urban,21400,20300,1100
Balochistan,Makran Division,Panjgur,Unemployed,Rural,800,-,800
Balochistan,Makran Division,Panjgur,Unemployed,Urban,1100,1100,-
Balochistan,Makran Division,Panjgur,Refined Participation Rate (%),Rural,36.3,64.1,8.4
Balochistan,Makran Division,Panjgur,Refined Participation Rate (%),Urban,28.9,51,3
Balochistan,Makran Division,Panjgur,Unemployment Rate (%),Rural,1.2,-,10.5
Balochistan,Makran Division,Panjgur,Unemployment Rate (%),Urban,4.8,5,-
Balochistan,Makran Division,Panjgur,Employment to Population Ratio (%),Rural,35.9,64.1,7.5
Balochistan,Makran Division,Panjgur,Employment to Population Ratio (%),Urban,27.5,48.4,3
Balochistan,Makran Division,Panjgur,Agriculture Employee (%),Rural,11.1,10.4,17.6
Balochistan,Makran Division,Panjgur,Agriculture Employee (%),Urban,8.1,3.2,100
Balochistan,Makran Division,Panjgur,Industry Employee (%),Rural,28.8,26.6,47.4
Balochistan,Makran Division,Panjgur,Industry Employee (%),Urban,23.2,24.4,-
Balochistan,Makran Division,Panjgur,Services Employee (%),Rural,60.1,63,35
Balochistan,Makran Division,Panjgur,Services Employee (%),Urban,68.7,72.3,-
Balochistan,Makran Division,Panjgur,Formal Activity (%),Rural,12.4,10.6,28.8
Balochistan,Makran Division,Panjgur,Formal Activity (%),Urban,19.8,19.8,-
Balochistan,Makran Division,Panjgur,Informal Activity (%),Rural,87.6,89.4,71.2
Balochistan,Makran Division,Panjgur,Informal Activity (%),Urban,80.2,80.2,-
Balochistan,Makran Division,Panjgur,Employers (%),All Areas,1.3,1.4,-
Balochistan,Makran Division,Panjgur,Own Account Workers (%),All Areas,27.8,29.6,9.7
Balochistan,Makran Division,Panjgur,Contributing Family  Workers (%),All Areas,9.1,7,29.2
Balochistan,Makran Division,Panjgur,Employees (%),All Areas,61.9,62,61.1
Balochistan,Makran Division,Panjgur,Literacy Rate (%),Rural,72.2,85.9,58.4
Balochistan,Makran Division,Panjgur,Literacy Rate (%),Urban,76,90.6,58.9
Balochistan,Makran Division,Panjgur,Underemployment Rate (%),Rural,-,-,-
Balochistan,Makran Division,Panjgur,Underemployment Rate (%),Urban,-,-,-
Balochistan,Makran Division,Panjgur,Mean Hours Work/Per Week,Rural,48.5,48.8,46.2
Balochistan,Makran Division,Panjgur,Mean Hours Work/Per Week,Urban,58.5,59.5,41
Balochistan,Makran Division,Panjgur,Total Population,Rural,234942,123512,111411
Balochistan,Makran Division,Panjgur,Total Population,Urban,80411,42867,37541
Balochistan,Makran Division,Sikandar Abad,Working Age Population,Rural,116000,62000,54000
Balochistan,Makran Division,Sikandar Abad,Working Age Population,Urban,27000,15000,12000
Balochistan,Makran Division,Sikandar Abad,Labour Force,Rural,43700,40200,3500
Balochistan,Makran Division,Sikandar Abad,Labour Force,Urban,10600,9100,1500
Balochistan,Makran Division,Sikandar Abad,Employed,Rural,41600,38100,3500
Balochistan,Makran Division,Sikandar Abad,Employed,Urban,8900,8100,700
Balochistan,Makran Division,Sikandar Abad,Unemployed,Rural,2100,2100,-
Balochistan,Makran Division,Sikandar Abad,Unemployed,Urban,1700,1000,700
Balochistan,Makran Division,Sikandar Abad,Refined Participation Rate (%),Rural,37.7,64.7,6.5
Balochistan,Makran Division,Sikandar Abad,Refined Participation Rate (%),Urban,39.6,61.1,12.4
Balochistan,Makran Division,Sikandar Abad,Unemployment Rate (%),Rural,4.8,5.2,-
Balochistan,Makran Division,Sikandar Abad,Unemployment Rate (%),Urban,16,10.7,49.2
